latitude,longitude,elevation,time
-33.434959379956126,-70.64188037998974,577.5999755859375,2025-05-18 12:34:47+00:00
-33.43496725894511,-70.64185800030828,577.5999755859375,2025-05-18 12:34:48+00:00
-33.43496734276414,-70.64184199087322,577.5999755859375,2025-05-18 12:34:49+00:00
-33.434974970296025,-70.64181282185018,577.5999755859375,2025-05-18 12:34:50+00:00
-33.43497723340988,-70.64179471693933,577.7999877929688,2025-05-18 12:34:51+00:00
-33.43498561531305,-70.64176462590694,577.7999877929688,2025-05-18 12:34:52+00:00
-33.43499315902591,-70.64174568280578,577.7999877929688,2025-05-18 12:34:53+00:00
-33.43499726615846,-70.64172296784818,577.7999877929688,2025-05-18 12:34:54+00:00
-33.435004223138094,-70.64169522374868,577.7999877929688,2025-05-18 12:34:55+00:00
-33.43500539660454,-70.64167611300945,577.7999877929688,2025-05-18 12:34:56+00:00
-33.435014532878995,-70.64164476469159,577.7999877929688,2025-05-18 12:34:57+00:00
-33.43502014875412,-70.64162573777139,577.7999877929688,2025-05-18 12:34:58+00:00
-33.43502811156213,-70.64159816130996,577.7999877929688,2025-05-18 12:34:59+00:00
-33.43503498472273,-70.64157175831497,577.7999877929688,2025-05-18 12:35:00+00:00
-33.435035068541765,-70.64155021682382,577.7999877929688,2025-05-18 12:35:01+00:00
-33.435042360797524,-70.64151903614402,577.7999877929688,2025-05-18 12:35:02+00:00
-33.435044288635254,-70.64149657264352,577.7999877929688,2025-05-18 12:35:03+00:00
-33.435051245614886,-70.64146840944886,577.7999877929688,2025-05-18 12:35:04+00:00
-33.4350592084229,-70.64144502393901,577.7999877929688,2025-05-18 12:35:05+00:00
-33.43506742268801,-70.64141786657274,577.7999877929688,2025-05-18 12:35:06+00:00
-33.4350745473057,-70.64138978719711,577.7999877929688,2025-05-18 12:35:07+00:00
-33.435075553134084,-70.64137109555304,577.7999877929688,2025-05-18 12:35:08+00:00
-33.4350816719234,-70.6413389928639,578.0,2025-05-18 12:35:09+00:00
-33.43507630750537,-70.64132072031498,578.0,2025-05-18 12:35:10+00:00
-33.43508577905595,-70.64128970727324,578.0,2025-05-18 12:35:11+00:00
-33.43509064055979,-70.64126942306757,578.0,2025-05-18 12:35:12+00:00
-33.435096172615886,-70.64124310389161,578.0,2025-05-18 12:35:13+00:00
-33.43510078266263,-70.64121653325856,578.0,2025-05-18 12:35:14+00:00
-33.43510128557682,-70.64119532704353,578.0,2025-05-18 12:35:15+00:00
-33.43511042185128,-70.64116414636374,578.0,2025-05-18 12:35:16+00:00
-33.43511000275612,-70.64114109613001,578.0,2025-05-18 12:35:17+00:00
-33.43511704355478,-70.64111050218344,578.2000122070312,2025-05-18 12:35:18+00:00
-33.43512274324894,-70.64108887687325,578.2000122070312,2025-05-18 12:35:19+00:00
-33.435127437114716,-70.64106272533536,578.2000122070312,2025-05-18 12:35:20+00:00
-33.43513397499919,-70.64103950746357,578.2000122070312,2025-05-18 12:35:21+00:00
-33.43513632193208,-70.64101989381015,578.2000122070312,2025-05-18 12:35:22+00:00
-33.43514579348266,-70.64099080860615,578.2000122070312,2025-05-18 12:35:23+00:00
-33.43514587730169,-70.64097203314304,578.2000122070312,2025-05-18 12:35:24+00:00
-33.435158617794514,-70.64094143919647,578.2000122070312,2025-05-18 12:35:25+00:00
-33.43516171909869,-70.64092417247593,578.4000244140625,2025-05-18 12:35:26+00:00
-33.43516834080219,-70.64089919440448,578.4000244140625,2025-05-18 12:35:27+00:00
-33.43517714180052,-70.64087631180882,578.4000244140625,2025-05-18 12:35:28+00:00
-33.435178231447935,-70.64085644669831,578.4000244140625,2025-05-18 12:35:29+00:00
-33.435179237276316,-70.64083834178746,578.4000244140625,2025-05-18 12:35:30+00:00
-33.43518133275211,-70.64082216471434,578.4000244140625,2025-05-18 12:35:31+00:00
